epoch,step,loss,val_loss
367,2207,,0.4357510209083557
367,2207,0.3861311972141266,
368,2213,0.3972359299659729,
369,2219,0.37106388807296753,
370,2225,0.3993006646633148,
371,2231,,0.4357524514198303
371,2231,0.3755563795566559,
372,2237,0.40531057119369507,
373,2243,0.3807922601699829,
374,2249,0.39038729667663574,
375,2255,,0.4357513189315796
375,2255,0.38190844655036926,
376,2261,0.3962598145008087,
377,2267,0.39717134833335876,
378,2273,0.40398338437080383,
379,2279,,0.43575194478034973
379,2279,0.35813140869140625,
380,2285,0.3616797626018524,
381,2291,0.3967372179031372,
382,2297,0.38333746790885925,
383,2303,,0.43575218319892883
383,2303,0.38898995518684387,
384,2309,0.3828888535499573,
385,2315,0.38056662678718567,
386,2321,0.39381495118141174,
387,2327,,0.43575549125671387
387,2327,0.3928144574165344,
388,2333,0.3827928900718689,
389,2339,0.3734350800514221,
390,2345,0.38060465455055237,
391,2351,,0.43575048446655273
391,2351,0.37057918310165405,
392,2357,0.40681901574134827,
393,2363,0.3788985311985016,
394,2369,0.3776165246963501,
395,2375,,0.43575289845466614
395,2375,0.3795533776283264,
396,2381,0.3707629442214966,
397,2387,0.37800833582878113,
398,2393,0.399200975894928,
399,2399,,0.43575674295425415
399,2399,0.36275559663772583,
400,2405,0.4044742286205292,
401,2411,0.39797836542129517,
402,2417,0.39193132519721985,
403,2423,,0.4357573986053467
403,2423,0.3780387043952942,
404,2429,0.3783620595932007,
405,2435,0.38203030824661255,
406,2441,0.39854899048805237,
407,2447,,0.43575865030288696
407,2447,0.37876978516578674,
408,2453,0.41218748688697815,
409,2459,0.4015219509601593,
410,2465,0.37265902757644653,
411,2471,,0.43575820326805115
411,2471,0.3832341134548187,
412,2477,0.40309369564056396,
413,2483,0.3997385501861572,
414,2489,0.37741321325302124,
415,2495,,0.4357552230358124
415,2495,0.3588503301143646,
416,2501,0.3825637102127075,
417,2507,0.3730815052986145,
418,2513,0.3891729414463043,
419,2519,,0.43575558066368103
419,2519,0.38327306509017944,
420,2525,0.3680685758590698,
421,2531,0.3692411184310913,
422,2537,0.39752906560897827,
423,2543,,0.43575775623321533
423,2543,0.40303176641464233,
424,2549,0.3870675265789032,
425,2555,0.36118781566619873,
426,2561,0.3941735327243805,
427,2567,,0.4357568323612213
427,2567,0.38177013397216797,
428,2573,0.39489325881004333,
429,2579,0.3952162563800812,
430,2585,0.37846943736076355,
431,2591,,0.43575575947761536
431,2591,0.37984442710876465,
432,2597,0.38609078526496887,
433,2603,0.39121952652931213,
434,2609,0.3759349286556244,
435,2615,,0.43575772643089294
435,2615,0.3993901014328003,
436,2621,0.4014863967895508,
437,2627,0.38842251896858215,
438,2633,0.3728713393211365,
439,2639,,0.4357620179653168
439,2639,0.374857097864151,
440,2645,0.3919329345226288,
441,2651,0.3716239333152771,
442,2657,0.3992360830307007,
443,2663,,0.4357600510120392
443,2663,0.3702278435230255,
444,2669,0.39350244402885437,
445,2675,0.38743212819099426,
446,2681,0.38807278871536255,
447,2687,,0.4357606768608093
447,2687,0.4146040081977844,
448,2693,0.3928735554218292,
449,2699,0.3848777413368225,
450,2705,0.37888315320014954,
451,2711,,0.43576058745384216
451,2711,0.3927777111530304,
452,2717,0.3981163799762726,
453,2723,0.36555367708206177,
454,2729,0.3833219110965729,
455,2735,,0.4357620179653168
455,2735,0.37739166617393494,
456,2741,0.36936384439468384,
457,2747,0.3815746307373047,
458,2753,0.37578850984573364,
459,2759,,0.4357603192329407
459,2759,0.3841167986392975,
460,2765,0.37581923604011536,
461,2771,0.38940319418907166,
462,2777,0.3808628022670746,
463,2783,,0.43575283885002136
463,2783,0.3822072446346283,
464,2789,0.3998887240886688,
465,2795,0.3903501629829407,
466,2801,0.39027461409568787,
467,2807,,0.43575042486190796
467,2807,0.378303587436676,
468,2813,0.3749246299266815,
469,2819,0.3741135597229004,
470,2825,0.38047662377357483,
471,2831,,0.43574684858322144
471,2831,0.40125909447669983,
472,2837,0.38684386014938354,
473,2843,0.39961767196655273,
474,2849,0.3979082405567169,
475,2855,,0.43574780225753784
475,2855,0.3905220627784729,
476,2861,0.36759111285209656,
477,2867,0.3832046389579773,
478,2873,0.3716025650501251,
479,2879,,0.4357494115829468
479,2879,0.38695868849754333,
480,2885,0.37184247374534607,
481,2891,0.394525945186615,
482,2897,0.40926727652549744,
483,2903,,0.43575191497802734
483,2903,0.3753020465373993,
484,2909,0.4061785936355591,
485,2915,0.3884284496307373,
486,2921,0.38666704297065735,
487,2927,,0.4357569217681885
487,2927,0.37912410497665405,
488,2933,0.39076629281044006,
489,2939,0.37896308302879333,
490,2945,0.38323500752449036,
491,2951,,0.43576040863990784
491,2951,0.3861607611179352,
492,2957,0.3846643269062042,
493,2963,0.37716352939605713,
494,2969,0.3551855683326721,
495,2975,,0.4357529878616333
495,2975,0.37690970301628113,
496,2981,0.37803635001182556,
497,2987,0.39769333600997925,
498,2993,0.39038392901420593,
499,2999,,0.435753732919693
499,2999,0.368772953748703,
500,3005,0.3984619081020355,
501,3011,0.3764219582080841,
502,3017,0.40659356117248535,
503,3023,,0.43575602769851685
503,3023,0.3741181492805481,
504,3029,0.3774016499519348,
505,3035,0.3725304901599884,
506,3041,0.4087851047515869,
507,3047,,0.43575695157051086
507,3047,0.3775097131729126,
508,3053,0.3983687460422516,
509,3059,0.37546879053115845,
510,3065,0.3801025450229645,
511,3071,,0.435760498046875
511,3071,0.38076725602149963,
512,3077,0.37661662697792053,
513,3083,0.39197608828544617,
514,3089,0.37389814853668213,
515,3095,,0.4357648193836212
515,3095,0.3625071048736572,
516,3101,0.35748153924942017,
517,3107,0.3849012851715088,
518,3113,0.36291050910949707,
519,3119,,0.43576580286026
519,3119,0.37224847078323364,
520,3125,0.3761371076107025,
521,3131,0.4010457992553711,
522,3137,0.3666878640651703,
523,3143,,0.4357680380344391
523,3143,0.389566034078598,
524,3149,0.3920094072818756,
525,3155,0.37459656596183777,
526,3161,0.38296106457710266,
527,3167,,0.4357687532901764
527,3167,0.39081519842147827,
528,3173,0.3907690644264221,
529,3179,0.3808571398258209,
530,3185,0.38509899377822876,
531,3191,,0.435764878988266
531,3191,0.366232305765152,
532,3197,0.400373250246048,
533,3203,0.39710733294487,
534,3209,0.36894381046295166,
535,3215,,0.43576276302337646
535,3215,0.3818843364715576,
536,3221,0.37223199009895325,
537,3227,0.38181766867637634,
538,3233,0.38109490275382996,
539,3239,,0.4357616603374481
539,3239,0.367794394493103,
540,3245,0.39193230867385864,
541,3251,0.3705468773841858,
542,3257,0.3651837408542633,
543,3263,,0.4357616603374481
543,3263,0.3844873905181885,
544,3269,0.3731355667114258,
545,3275,0.3860320448875427,
546,3281,0.3865869343280792,
547,3287,,0.43575870990753174
547,3287,0.3761831223964691,
548,3293,0.39081767201423645,
549,3299,0.3957655429840088,
550,3305,0.3813818395137787,
551,3311,,0.43575793504714966
551,3311,0.4071292579174042,
552,3317,0.39346805214881897,
553,3323,0.40041300654411316,
554,3329,0.39451783895492554,
555,3335,,0.4357626438140869
555,3335,0.38248729705810547,
556,3341,0.38311338424682617,
557,3347,0.38617420196533203,
558,3353,0.394561231136322,
559,3359,,0.4357609450817108
559,3359,0.3714528977870941,
560,3365,0.3840121626853943,
561,3371,0.3989310562610626,
562,3377,0.3780134618282318,
563,3383,,0.4357616901397705
563,3383,0.39638450741767883,
564,3389,0.3704891502857208,
565,3395,0.37552469968795776,
566,3401,0.39551544189453125,
567,3407,,0.43575817346572876
567,3407,0.37008386850357056,
568,3413,0.4063355624675751,
569,3419,0.386583536863327,
570,3425,0.39771178364753723,
571,3431,,0.43575426936149597
571,3431,0.40397897362709045,
572,3437,0.38120418787002563,
573,3443,0.3610002398490906,
574,3449,0.3654837906360626,
575,3455,,0.4357520043849945
575,3455,0.36237776279449463,
576,3461,0.3906434178352356,
577,3467,0.4014788866043091,
578,3473,0.3841734230518341,
579,3479,,0.43574997782707214
579,3479,0.3878353536128998,
580,3485,0.41624632477760315,
581,3491,0.36667266488075256,
582,3497,0.3883591592311859,
583,3503,,0.43575140833854675
583,3503,0.39079129695892334,
584,3509,0.3965262472629547,
585,3515,0.3703748285770416,
586,3521,0.4197129011154175,
587,3527,,0.43575361371040344
587,3527,0.38093507289886475,
588,3533,0.3725745677947998,
589,3539,0.3653463125228882,
590,3545,0.3988158106803894,
591,3551,,0.43575677275657654
591,3551,0.3847096264362335,
592,3557,0.39425963163375854,
593,3563,0.3622497320175171,
594,3569,0.3579685091972351,
595,3575,,0.4357549548149109
595,3575,0.40300485491752625,
596,3581,0.40397801995277405,
597,3587,0.37453657388687134,
598,3593,0.3629757761955261,
599,3599,,0.43575218319892883
599,3599,0.37862923741340637,
600,3605,0.38696062564849854,
601,3611,0.38707995414733887,
602,3617,0.3905274569988251,
603,3623,,0.43574851751327515
603,3623,0.40049973130226135,
604,3629,0.4036966562271118,
605,3635,0.36944183707237244,
606,3641,0.3724278211593628,
607,3647,,0.4357481002807617
607,3647,0.3858678638935089,
608,3653,0.392995148897171,
609,3659,0.385463684797287,
610,3665,0.3926214277744293,
611,3671,,0.435748428106308
611,3671,0.3875953257083893,
612,3677,0.38959187269210815,
613,3683,0.3725925385951996,
614,3689,0.38461706042289734,
615,3695,,0.43575119972229004
615,3695,0.4176846146583557,
616,3701,0.37741076946258545,
617,3707,0.38726815581321716,
618,3713,0.372480571269989,
619,3719,,0.4357532858848572
619,3719,0.3858223855495453,
620,3725,0.36733874678611755,
621,3731,0.3808845281600952,
622,3737,0.40286633372306824,
623,3743,,0.4357490837574005
623,3743,0.3645559847354889,
624,3749,0.3863697946071625,
625,3755,0.38476043939590454,
626,3761,0.37539970874786377,
627,3767,,0.43574953079223633
627,3767,0.38989049196243286,
628,3773,0.38664510846138,
629,3779,0.3776809573173523,
630,3785,0.37419793009757996,
631,3791,,0.4357430040836334
631,3791,0.3876580595970154,
632,3797,0.40139421820640564,
633,3803,0.39161643385887146,
634,3809,0.36114177107810974,
635,3815,,0.4357418417930603
635,3815,0.39207014441490173,
636,3821,0.3864433467388153,
637,3827,0.3891068398952484,
638,3833,0.40588638186454773,
639,3839,,0.43573710322380066
639,3839,0.38028275966644287,
640,3845,0.38858383893966675,
641,3851,0.3694155514240265,
642,3857,0.3630785346031189,
643,3863,,0.43572160601615906
643,3863,0.382874995470047,
644,3869,0.3985259234905243,
645,3875,0.3784946799278259,
646,3881,0.38324135541915894,
647,3887,,0.43571850657463074
647,3887,0.3750515580177307,
648,3893,0.39933064579963684,
649,3899,0.40363311767578125,
650,3905,0.36152341961860657,
651,3911,,0.4357178807258606
651,3911,0.4009038805961609,
652,3917,0.3784000873565674,
653,3923,0.3797324001789093,
654,3929,0.37030747532844543,
655,3935,,0.4357232451438904
655,3935,0.3783440589904785,
656,3941,0.39531075954437256,
657,3947,0.3736989498138428,
658,3953,0.3897014856338501,
